bastinoru mandanna	Profanity	user_chat
bastin oru nala allanu	Not_offensive	user_chat
da patti	Profanity	user_chat
da thadiya	Not_offensive	user_chat
da thanthayillathavane	Not_offensive	user_chat
da hambada kundimyre	Not_offensive	user_chat
pha kunnayoli	Profanity	user_chat
ninte achante sookshmadarshinikindipariyolupoorimone	Not_offensive	user_chat
ninte polayadichaanchadiandiyillathathantha	Not_offensive	user_chat
ninte thanthayilla chaanchadi andiyillatha thantha	Not_offensive	user_chat
ninte ammoommede kindi	Not_offensive	user_chat
"ninte achante ""pari"""	Profanity	user_chat
ninte ammommede patti thendi naari thayoli	Off_target_ind	user_chat
bastinte pari	Profanity	user_chat
neghaar	Profanity	user_chat
pha poori beggar dirty tooty frooty myre	Not_offensive	user_chat
myre	Profanity	user_chat
poori with potato curry	Not_offensive	user_chat
poori	Not_offensive	user_chat
arjun P Myran	Not_offensive	user_chat
Bastin Thomas Andiyillathavan	Not_offensive	user_chat
bumberbola kundaa	Not_offensive	user_chat
dingiripaapi myreee	Not_offensive	user_chat
da myreee	Not_offensive	user_chat
andiiii	Profanity	user_chat
andiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii	Profanity	user_chat
andi kundappy	Not_offensive	user_chat
myreeee	Profanity	user_chat
myreeeeeeeeeeeeeeeee	Profanity	user_chat
umb myreee	Profanity	user_chat
Bastin P Myran	Not_offensive	user_chat
Bastin P Myreee	Not_offensive	user_chat
Andi P ShashiKundan	Not_offensive	user_chat
Ninte Achante Uchi	Profanity	user_chat
MYRE	Profanity	user_chat
KUNNEEEE	Profanity	user_chat
KUNNEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE	Profanity	user_chat
Neghaar	Profanity	user_chat
Niggaaaar	Profanity	user_chat
Niggesh P James	Profanity	user_chat
Nikesh	Not_offensive	user_chat
Nigesh P Thayoli	Profanity	user_chat
kathrikathalayan	Not_offensive	user_chat
patti	Profanity	user_chat
devnigga	Profanity	user_chat
nigaaar	Profanity	user_chat
negaar	Profanity	user_chat
neghar	Profanity	user_chat
negha	Profanity	user_chat
mythbndi	Profanity	user_chat
mydear	Profanity	user_chat
mointhe	Profanity	user_chat
himar	Not_offensive	user_chat
kulikkathavane	Profanity	user_chat
pundachikootui	Profanity	user_chat
Ninte Achante P Kindi	Not_offensive	user_chat
Thayoli P Myresh	Not_offensive	user_chat
ratheesh	Not_offensive	user_chat
bIJU	Not_offensive	user_chat
Biju	Not_offensive	user_chat
thandholi	Profanity	user_chat
mukesh	Not_offensive	user_chat
poooooooooooorrrrrrriiii	Profanity	user_chat
Joseph V Myre	Profanity	user_chat
thendiii	Profanity	user_chat
nee oru nalla manushyananu	Not_offensive	user_chat
Negha	Not_offensive	user_chat
Neghar	Profanity	user_chat
Suresh Annan Oru myruthayoliahnuu	Profanity	user_chat
ninte achantinte kunjuandi	Not_offensive	user_chat
kashuvandi	Profanity	user_chat
da ninte kashuvandi thottathil vellam ozhichoo	Not_offensive	user_chat
da ninte andi	Profanity	user_chat
da naari monee	Profanity	user_chat
da ninakoke ullup undo	Not_offensive	user_chat
enthu myre ahnu kanikune	Profanity	user_chat
da chettatharam kanikalee	Not_offensive	user_chat
da chettattharam kanikale	Not_offensive	user_chat
da chettatharam kanikale	Profanity	user_chat
da pattimone	Profanity	user_chat
Creepy MYre	Profanity	user_chat
Thyrr	Not_offensive	user_chat
Malare	Profanity	user_chat
Malare nine kanathirunal	Profanity	user_chat
da ninte patti enthu cute ahnnu	Not_offensive	user_chat
da ninak kazhivu undo ninte andi	Profanity	user_chat
dai niank ullup undo	Not_offensive	user_chat
ullupundo myree	Profanity	user_chat
hey da mone	Profanity	user_chat
engane unda da	Profanity	user_chat
happy ahno	Not_offensive	user_chat
patti veno ninaka	Profanity	user_chat
poda paati ente mone	Profanity	user_chat
pucha atho patti veno	Not_offensive	user_chat
da paati ninoda choichda pucha veno atho patti veno entegiulm paraa da patti	Not_offensive	user_chat
paraa da patti	Profanity	user_chat
da paati ninoda choichda pucha veno atho patti veno entegiulm paraa da patti para da mone patti tendi	Not_offensive	user_chat
da paati ninoda choichda pucha veno atho patti veno entegiulm paraa da patti para da mone patti tendi myre para da	Off_target_ind	user_chat
hhhi	Not_offensive	user_chat
da paati	Profanity	user_chat
